"year_quarter","Tasking_Location","base","score"
"2017 Oct to Dec","Other","Sumburgh",21
"2017 Oct to Dec","Vessel","Caernarfon",3
"2017 Oct to Dec","Vessel","Humberside",13
"2017 Oct to Dec","Vessel","Inverness",2
"2017 Oct to Dec","Vessel","Lee On Solent",9
"2017 Oct to Dec","Vessel","Lydd",7
"2017 Oct to Dec","Vessel","Newquay",11
"2017 Oct to Dec","Vessel","Prestwick",2
"2017 Oct to Dec","Vessel","St Athan",3
"2017 Oct to Dec","Vessel","Stornoway",4
"2017 Oct to Dec","Vessel","Sumburgh",11
"2018 Jan to Mar","Beach/Cliff","Caernarfon",12
"2018 Jan to Mar","Beach/Cliff","Humberside",11
"2018 Jan to Mar","Beach/Cliff","Inverness",6
"2018 Jan to Mar","Beach/Cliff","Lee On Solent",11
"2018 Jan to Mar","Beach/Cliff","Lydd",12
"2018 Jan to Mar","Beach/Cliff","Newquay",13
"2018 Jan to Mar","Beach/Cliff","Prestwick",6
"2018 Jan to Mar","Beach/Cliff","St Athan",19
"2018 Jan to Mar","Beach/Cliff","Stornoway",0
"2018 Jan to Mar","Beach/Cliff","Sumburgh",0
"2018 Jan to Mar","Mountain","Caernarfon",34
"2018 Jan to Mar","Mountain","Humberside",6
"2018 Jan to Mar","Mountain","Inverness",61
"2018 Jan to Mar","Mountain","Lee On Solent",0
"2018 Jan to Mar","Mountain","Lydd",0
"2018 Jan to Mar","Mountain","Newquay",0
"2018 Jan to Mar","Mountain","Prestwick",36
"2018 Jan to Mar","Mountain","St Athan",9
"2018 Jan to Mar","Mountain","Stornoway",7
"2018 Jan to Mar","Mountain","Sumburgh",0
"2018 Jan to Mar","Other","Caernarfon",20
"2018 Jan to Mar","Other","Humberside",28
"2018 Jan to Mar","Other","Inverness",22
"2018 Jan to Mar","Other","Lee On Solent",47
"2018 Jan to Mar","Other","Lydd",17
"2018 Jan to Mar","Other","Newquay",48
"2018 Jan to Mar","Other","Prestwick",37
"2018 Jan to Mar","Other","St Athan",24
"2018 Jan to Mar","Other","Stornoway",13
"2018 Jan to Mar","Other","Sumburgh",38
"2018 Jan to Mar","Vessel","Caernarfon",3
"2018 Jan to Mar","Vessel","Humberside",19
"2018 Jan to Mar","Vessel","Inverness",1
"2018 Jan to Mar","Vessel","Lee On Solent",5
"2018 Jan to Mar","Vessel","Lydd",6
"2018 Jan to Mar","Vessel","Newquay",11
"2018 Jan to Mar","Vessel","Prestwick",3
"2018 Jan to Mar","Vessel","St Athan",1
"2018 Jan to Mar","Vessel","Stornoway",5
"2018 Jan to Mar","Vessel","Sumburgh",10
"2018 Apr to Jun","Beach/Cliff","Caernarfon",13
"2018 Apr to Jun","Beach/Cliff","Humberside",14
"2018 Apr to Jun","Beach/Cliff","Inverness",7
"2018 Apr to Jun","Beach/Cliff","Lee On Solent",13
"2018 Apr to Jun","Beach/Cliff","Lydd",25
"2018 Apr to Jun","Beach/Cliff","Newquay",25
"2018 Apr to Jun","Beach/Cliff","Prestwick",15
"2018 Apr to Jun","Beach/Cliff","St Athan",31
"2018 Apr to Jun","Beach/Cliff","Stornoway",10
"2018 Apr to Jun","Beach/Cliff","Sumburgh",1
"2018 Apr to Jun","Mountain","Caernarfon",40
"2018 Apr to Jun","Mountain","Humberside",3
"2018 Apr to Jun","Mountain","Inverness",39
"2018 Apr to Jun","Mountain","Lee On Solent",0
"2018 Apr to Jun","Mountain","Lydd",0
"2018 Apr to Jun","Mountain","Newquay",2
"2018 Apr to Jun","Mountain","Prestwick",29
"2018 Apr to Jun","Mountain","St Athan",9
"2018 Apr to Jun","Mountain","Stornoway",12
"2018 Apr to Jun","Mountain","Sumburgh",0
"2018 Apr to Jun","Other","Caernarfon",23
"2018 Apr to Jun","Other","Humberside",26
"2018 Apr to Jun","Other","Inverness",30
"2018 Apr to Jun","Other","Lee On Solent",40
"2018 Apr to Jun","Other","Lydd",15
"2018 Apr to Jun","Other","Newquay",61
"2018 Apr to Jun","Other","Prestwick",31
"2018 Apr to Jun","Other","St Athan",19
"2018 Apr to Jun","Other","Stornoway",16
"2018 Apr to Jun","Other","Sumburgh",31
"2018 Apr to Jun","Vessel","Caernarfon",4
"2018 Apr to Jun","Vessel","Humberside",18
"2018 Apr to Jun","Vessel","Inverness",8
"2018 Apr to Jun","Vessel","Lee On Solent",21
"2018 Apr to Jun","Vessel","Lydd",7
"2018 Apr to Jun","Vessel","Newquay",16
"2018 Apr to Jun","Vessel","Prestwick",6
"2018 Apr to Jun","Vessel","St Athan",6
"2018 Apr to Jun","Vessel","Stornoway",8
"2018 Apr to Jun","Vessel","Sumburgh",9
"2018 Jul to Sep","Beach/Cliff","Caernarfon",21
"2018 Jul to Sep","Beach/Cliff","Humberside",24
"2018 Jul to Sep","Beach/Cliff","Inverness",9
"2018 Jul to Sep","Beach/Cliff","Lee On Solent",26
"2018 Jul to Sep","Beach/Cliff","Lydd",38
"2018 Jul to Sep","Beach/Cliff","Newquay",20
"2018 Jul to Sep","Beach/Cliff","Prestwick",13
"2018 Jul to Sep","Beach/Cliff","St Athan",25
"2018 Jul to Sep","Beach/Cliff","Stornoway",3
"2018 Jul to Sep","Beach/Cliff","Sumburgh",1
"2018 Jul to Sep","Mountain","Caernarfon",50
"2018 Jul to Sep","Mountain","Humberside",2
"2018 Jul to Sep","Mountain","Inverness",35
"2018 Jul to Sep","Mountain","Lee On Solent",0
"2018 Jul to Sep","Mountain","Lydd",0
"2018 Jul to Sep","Mountain","Newquay",0
"2018 Jul to Sep","Mountain","Prestwick",36
"2018 Jul to Sep","Mountain","St Athan",9
"2018 Jul to Sep","Mountain","Stornoway",10
"2018 Jul to Sep","Mountain","Sumburgh",0
"2018 Jul to Sep","Other","Caernarfon",30
"2018 Jul to Sep","Other","Humberside",33
"2018 Jul to Sep","Other","Inverness",33
"2018 Jul to Sep","Other","Lee On Solent",44
"2018 Jul to Sep","Other","Lydd",27
"2018 Jul to Sep","Other","Newquay",77
"2018 Jul to Sep","Other","Prestwick",49
"2018 Jul to Sep","Other","St Athan",32
"2018 Jul to Sep","Other","Stornoway",19
"2018 Jul to Sep","Other","Sumburgh",29
"2018 Jul to Sep","Vessel","Caernarfon",9
"2018 Jul to Sep","Vessel","Humberside",10
"2018 Jul to Sep","Vessel","Inverness",6
"2018 Jul to Sep","Vessel","Lee On Solent",19
"2018 Jul to Sep","Vessel","Lydd",13
"2018 Jul to Sep","Vessel","Newquay",14
"2018 Jul to Sep","Vessel","Prestwick",10
"2018 Jul to Sep","Vessel","St Athan",6
"2018 Jul to Sep","Vessel","Stornoway",9
"2018 Jul to Sep","Vessel","Sumburgh",7
"2018 Oct to Dec","Beach/Cliff","Caernarfon",4
"2018 Oct to Dec","Beach/Cliff","Humberside",8
"2018 Oct to Dec","Beach/Cliff","Inverness",4
"2018 Oct to Dec","Beach/Cliff","Lee On Solent",16
"2018 Oct to Dec","Beach/Cliff","Lydd",26
"2018 Oct to Dec","Beach/Cliff","Newquay",11
"2018 Oct to Dec","Beach/Cliff","Prestwick",5
"2018 Oct to Dec","Beach/Cliff","St Athan",20
"2018 Oct to Dec","Beach/Cliff","Stornoway",1
"2018 Oct to Dec","Beach/Cliff","Sumburgh",0
"2018 Oct to Dec","Mountain","Caernarfon",31
"2018 Oct to Dec","Mountain","Humberside",4
"2018 Oct to Dec","Mountain","Inverness",12
"2018 Oct to Dec","Mountain","Lee On Solent",0
"2018 Oct to Dec","Mountain","Lydd",0
"2018 Oct to Dec","Mountain","Newquay",0
"2018 Oct to Dec","Mountain","Prestwick",9
"2018 Oct to Dec","Mountain","St Athan",5
"2018 Oct to Dec","Mountain","Stornoway",7
"2018 Oct to Dec","Mountain","Sumburgh",0
"2018 Oct to Dec","Other","Caernarfon",15
"2018 Oct to Dec","Other","Humberside",34
"2018 Oct to Dec","Other","Inverness",23
"2018 Oct to Dec","Other","Lee On Solent",52
"2018 Oct to Dec","Other","Lydd",18
"2018 Oct to Dec","Other","Newquay",42
"2018 Oct to Dec","Other","Prestwick",47
"2018 Oct to Dec","Other","St Athan",25
"2018 Oct to Dec","Other","Stornoway",9
"2018 Oct to Dec","Other","Sumburgh",21
"2018 Oct to Dec","Vessel","Caernarfon",1
"2018 Oct to Dec","Vessel","Humberside",13
"2018 Oct to Dec","Vessel","Inverness",2
"2018 Oct to Dec","Vessel","Lee On Solent",7
"2018 Oct to Dec","Vessel","Lydd",13
"2018 Oct to Dec","Vessel","Newquay",9
"2018 Oct to Dec","Vessel","Prestwick",4
"2018 Oct to Dec","Vessel","St Athan",4
"2018 Oct to Dec","Vessel","Stornoway",2
"2018 Oct to Dec","Vessel","Sumburgh",11
"2019 Jan to Mar","Beach/Cliff","Caernarfon",10
"2019 Jan to Mar","Beach/Cliff","Humberside",8
"2019 Jan to Mar","Beach/Cliff","Inverness",3
